itemtype,checkouts
acbk,380852
jcbk,205621
accd,144871
acdvd,121318
acvhs,83747
jcdvd,30255
jcvhs,28495
accas,16940
jccd,12257
jccas,6040
dcillb,4836
ucfold,3410
acmus,2359
jckit,1634
bcbk,1101
alvhs,949
acfold,675
jccdrom,521
arbk,478
bccas,436
bcvhs,432
ucunknj,361
accdrom,216
bckit,145
acrec,139
jcmus,83
bccd,76
ackit,62
bccdrom,54
blvhs,32
acvid,31
jlvhs,27
ucunkn,19
arcd,16
jrbk,16
arper,14
acart,11
dcilll,10
ucflpdr,6
acper,4
armfc,3
armus,3
acdisk,3
acpam,2
arcdrom,2
acpost,2
arunkn,2
ardvd,2
jrvhs,2
acslide,1
armfm,1
arvhs,1
jcrec,1
jrkit,1
