itemtype,MAE,RMSE,MSE,R2
acart,0.21970886508689444,0.2665858701700122,0.07106802617430258,0.0
acbk,0.4322615679168048,0.8611855699416864,0.7416405858757872,0.5398251800939415
accas,0.30937058842271054,0.48789045647563833,0.23803709752000676,0.06460373453762924
accd,0.7279279099137937,1.072957874055824,1.1512385994983938,0.3738951734483791
accdrom,0.13142574689611014,0.27354121746168736,0.07482479765042213,0.05938151332020014
acdisk,0.14112751836277834,0.15858771018478512,0.0251500618216534,0.0
acdvd,1.405021189356821,2.181115817189985,4.757266207996336,0.7056338613502058
acfold,5.759205100923402,9.16964968857549,84.08247541119256,-0.3085160228579833
ackit,0.30115566279490036,0.421753954519757,0.17787639815305326,-0.9764044239228138
acmus,0.1055568423123507,0.2716648263126438,0.07380177785547894,0.09190099643925786
acpam,0.22822505064148668,0.22822505064148668,0.05208667374030916,
acper,0.19259323476831272,0.20173109178348209,0.04069543339215568,0.0
acpost,0.1080487778917476,0.1080487778917476,0.011674538403900207,
acrec,0.07920816572396096,0.24155630491169938,0.058349448442593876,0.0
acvhs,0.7616072139759421,1.1893813138013969,1.4146279096199368,0.49169793841143306
acvid,0.619602377767842,0.8905198384998082,0.7930255827617244,-2.198536517138955
alvhs,0.4694071104394463,0.8597318156712584,0.7391387948773988,0.2709949273694041
arbk,0.049567228348996364,0.16965228547193323,0.028781897965850328,-1.5475307086825616
arcd,0.5438104323804808,0.5804738681682186,0.3369499116261744,-0.7970661953395968
arcdrom,0.07382790142488349,0.07382790142488349,0.005450559028802314,
armfc,0.3058347587401127,0.3058347587401127,0.09353489965362292,
armfm,0.1179601225330531,0.1179601225330531,0.013914590508012902,
armus,0.1080487778917476,0.10804877789174762,0.011674538403900208,0.0
arper,0.304842186006791,0.46812890335499574,0.21914467015635092,-0.1687715741672049
arunkn,6.360942384168618,6.512466023049711,42.41221370137692,0.0
arvhs,0.6463862353410723,0.6463862353410723,0.4178151652384041,
bcbk,0.2808802908178908,0.5043403157356239,0.25435915407630877,0.2635527791559663
bccas,0.4188463121961196,0.6099302811576516,0.37201494787305195,-0.025330696934623864
bccd,0.8061096589239501,1.274820991048515,1.6251685592179184,0.017621990323496872
bccdrom,0.14529464942778522,0.22702886072803993,0.05154210360347176,0.3252670073727333
bckit,0.36478448140898506,0.4824118168065498,0.23272116099459617,-0.0710462523046751
bcvhs,0.4315047718430105,0.6630635431664738,0.4396532622764783,0.041959008706986434
blvhs,0.4659353855085276,0.5188694112336739,0.2692254659139794,-0.5576616242165953
dcillb,0.09921265238777893,0.250735305455854,0.0628681934020404,-0.054510813543990455
dcilll,0.07382790142488349,0.07382790142488349,0.005450559028802314,
jcbk,0.7233444124188632,1.2386160712138607,1.53416977186926,0.4763459123748528
jccas,0.4374518962497746,0.6629986738149463,0.4395672414803775,0.17611641749625262
jccd,0.7270080335655359,1.040319293460475,1.082264232346102,0.2338197015785065
jccdrom,0.48853962029353887,0.6173039333656901,0.38106414614875245,-0.11214996803720068
jcdvd,1.3635753033634488,1.9066565582142005,3.635339230981221,0.2375615247732411
jckit,0.813860034681788,1.117616213940338,1.2490660016623356,0.13315489076757614
jcmus,0.21938025220418025,0.3690438843200901,0.13619338855406005,0.1647171613277204
jcrec,0.6286490559747726,0.6286490559747726,0.3951996355779728,
jcvhs,0.9348205499505093,1.283986765796652,1.6486220147409465,0.1501023788655239
jlvhs,0.25385973427521386,0.27652433452572855,0.07646570758489704,0.0
jrbk,0.27987835118689497,0.3253485266114209,0.10585166376822243,-0.07174809565325191
jrvhs,2.5150517467006606,2.5224465540238192,6.362736617906641,0.0
ucfold,5.861908561536116,8.309525537287643,69.04821465483548,0.6790453363672039
ucunkn,0.1299550985367061,0.16653181195263222,0.02773284439222686,0.0
ucunknj,1.9689912296813792,4.647020157773357,21.59479634675192,0.731633165482677
